id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2_2,url + code
recR8u63fYBrV81Kz,J_1008_GR_3050; 4200_28,1008,GR,CIEMNO SZARY,https://qr-codes-page.vercel.app/product/recR8u63fYBrV81Kz,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 73,80","PLN 152,37","PLN 158,34","PLN 164,32","PLN 181,78","PLN 128,72","PLN 155,07","PLN 161,24","PLN 167,41","PLN 162,36","https://qr-codes-page.vercel.app/product/recR8u63fYBrV81Kz, J_1008_GR_3050; 4200_28"
recip95BKblvzzg0i,J_5018_GR_3050; 4200_28,5018,GR,GRANIT,https://qr-codes-page.vercel.app/product/recip95BKblvzzg0i,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 73,80","PLN 152,37","PLN 158,34","PLN 164,32","PLN 181,78","PLN 128,72","PLN 155,07","PLN 161,24","PLN 167,41","PLN 162,36","https://qr-codes-page.vercel.app/product/recip95BKblvzzg0i, J_5018_GR_3050; 4200_28"
recymMVmarjAhNHbU,J_4019_MATT_3050; 4200_28,4019,MATT,METALLICO,https://qr-codes-page.vercel.app/product/recymMVmarjAhNHbU,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 73,80","PLN 152,37","PLN 158,34","PLN 164,32","PLN 181,78","PLN 128,72","PLN 155,07","PLN 161,24","PLN 167,41","PLN 162,36","https://qr-codes-page.vercel.app/product/recymMVmarjAhNHbU, J_4019_MATT_3050; 4200_28"
receO37M4AP9pqfdc,J_4821A/5092_GR_3050; 4200_28,4821A/5092,GR,ASFALT SZARO-CZARNY,https://qr-codes-page.vercel.app/product/receO37M4AP9pqfdc,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/receO37M4AP9pqfdc, J_4821A/5092_GR_3050; 4200_28"
recqqtftxuqVR63VA,J_1190_GR_3050; 4200_28,1190,GR,BIAŁY,https://qr-codes-page.vercel.app/product/recqqtftxuqVR63VA,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/recqqtftxuqVR63VA, J_1190_GR_3050; 4200_28"
rec1LFPD2jL6QWbTI,J_1059_QUARY_3050; 4200_28,1059,QUARY,BIAŁY KAMIEŃ,https://qr-codes-page.vercel.app/product/rec1LFPD2jL6QWbTI,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/rec1LFPD2jL6QWbTI, J_1059_QUARY_3050; 4200_28"
recL8Nbo1AHZXCoSn,J_3220_STR2_3050; 4200_28,3220,STR2,DĄB EUREKA,https://qr-codes-page.vercel.app/product/recL8Nbo1AHZXCoSn,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/recL8Nbo1AHZXCoSn, J_3220_STR2_3050; 4200_28"
rec7avPGncomB5KQ4,J_3156_WGR2_3050; 4200_28,3156,WGR2,DĄB SONOMA,https://qr-codes-page.vercel.app/product/rec7avPGncomB5KQ4,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/rec7avPGncomB5KQ4, J_3156_WGR2_3050; 4200_28"
receRcHIp7dC1O5ly,J_5156_SILK_3050; 4200_28,5156,SILK,KAMIEŃ GREENPORT,https://qr-codes-page.vercel.app/product/receRcHIp7dC1O5ly,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/receRcHIp7dC1O5ly, J_5156_SILK_3050; 4200_28"
rec0xZmBJKsS7EOGK,J_3197_STR1_3050; 4200_28,3197,STR1,KLEPKA DĘBOWA,https://qr-codes-page.vercel.app/product/rec0xZmBJKsS7EOGK,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/rec0xZmBJKsS7EOGK, J_3197_STR1_3050; 4200_28"
