id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_635_m_1,price_650_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_1300_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2,url + code
recbwG7Mo4Q6oqEqw,SL_190_SL_4100_12,190,SL,CZARNY ,https://qr-codes-page.vercel.app/product/recbwG7Mo4Q6oqEqw,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 1259,30",,,,,"PLN 2518,54",,,,,,"https://qr-codes-page.vercel.app/product/recbwG7Mo4Q6oqEqw, SL_190_SL_4100_12"
rec23RYg4r5Sf5r6D,SL_190_AF_4100_12,190,AF,CZARNY ,https://qr-codes-page.vercel.app/product/rec23RYg4r5Sf5r6D,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 1574,90",,,,,"PLN 3149,87",,,,,,"https://qr-codes-page.vercel.app/product/rec23RYg4r5Sf5r6D, SL_190_AF_4100_12"
recK5Fkk0NEuLynPB,SL_K539_PH_4100_12,K539,PH,ŁUPEK AROSA CIEMNY ,https://qr-codes-page.vercel.app/product/recK5Fkk0NEuLynPB,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 1330,87",,,,,"PLN 2661,76",,,,,,"https://qr-codes-page.vercel.app/product/recK5Fkk0NEuLynPB, SL_K539_PH_4100_12"
recWYi6PxKVRZa4rb,SL_K553_SU_4100_12,K553,SU,GALAXUS ,https://qr-codes-page.vercel.app/product/recWYi6PxKVRZa4rb,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 1330,87",,,,,"PLN 2661,76",,,,,,"https://qr-codes-page.vercel.app/product/recWYi6PxKVRZa4rb, SL_K553_SU_4100_12"
recL4TYCqKmxyMabV,SL_K749_LV_4100_12,K749,LV,BABYLON SLATE  NOWOŚĆ,https://qr-codes-page.vercel.app/product/recL4TYCqKmxyMabV,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 2215,93",,,,,"PLN 4431,90",,,,,,"https://qr-codes-page.vercel.app/product/recL4TYCqKmxyMabV, SL_K749_LV_4100_12"
rec9gBGsEYCGdkKie,SL_K750_LV_4100_12,K750,LV,AGRA TRAVERTIN  NOWOŚĆ,https://qr-codes-page.vercel.app/product/rec9gBGsEYCGdkKie,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 2215,93",,,,,"PLN 4431,90",,,,,,"https://qr-codes-page.vercel.app/product/rec9gBGsEYCGdkKie, SL_K750_LV_4100_12"
rec9kGAcbSF3T4EeO,SL_8685_SU_4100_12,8685,SU,BIEL ALPEJSKA,https://qr-codes-page.vercel.app/product/rec9kGAcbSF3T4EeO,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 1997,90",,,,,"PLN 3995,90",,,,,,"https://qr-codes-page.vercel.app/product/rec9kGAcbSF3T4EeO, SL_8685_SU_4100_12"
recGgYn1Byuy4avFo,SL_K023_SU_4100_12,K023,SU,VENATO,https://qr-codes-page.vercel.app/product/recGgYn1Byuy4avFo,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 1997,90",,,,,"PLN 3995,90",,,,,,"https://qr-codes-page.vercel.app/product/recGgYn1Byuy4avFo, SL_K023_SU_4100_12"
recWYgODIpGDGyMAz,SL_K551_SU_4100_12,K551,SU,CARRARA ,https://qr-codes-page.vercel.app/product/recWYgODIpGDGyMAz,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 1997,90",,,,,"PLN 3995,90",,,,,,"https://qr-codes-page.vercel.app/product/recWYgODIpGDGyMAz, SL_K551_SU_4100_12"
recFR7OnlKglR4PO4,SL_K552_SU_4100_12,K552,SU,BIAŁY MARMUR LODOWY ,https://qr-codes-page.vercel.app/product/recFR7OnlKglR4PO4,Blat,Blaty sprzedawane w całości.,SL,4100,650;1300,"Blat Slim Line, wykonany z 12 mm płyty kompaktowej o monochromatycznym rdzeniu",,12,1,Kronospan,,,,"PLN 1997,90",,,,,"PLN 3995,90",,,,,,"https://qr-codes-page.vercel.app/product/recFR7OnlKglR4PO4, SL_K552_SU_4100_12"
